FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260311,Naranja valencia,2.65,4.7,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Chirimoya cumbe,5,6.9,Frutas,CAJON CHICO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Melon coquito,2.29,2.95,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Vainita americana,3.02,5.75,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Papa amarilla,3.11,5.25,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Uva red globe,2.92,6.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Camote morado,1.95,3.25,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Melocoton durazno huayco,5.43,9.8,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Arveja verde blanca serrana,4.4,8.25,Legumbres,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Manzana israel,3,5.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Ajo criollo o napuri,7.67,10.75,Hortalizas,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Manzana delicia,2.25,4.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Azucar rubia nacional (granel),3.27,4.15,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Mango edward,3.8,5,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Azucar blanca nacional (granel),3.27,4.45,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Tomate,2.43,3.65,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Arroz superior,3.01,3.35,Cereales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Sandia,1.55,2.35,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260309,Arroz extra,3.03,4.45,Cereales,SACO NORMAL,KILOGRAMO
